file,group,MJD,seeing,ra,dec,gain,readnoise,date
h_e_20140317_29_1_1_1.fits,1,56733.882703,3.555362,10:01:23.891,+02:31:14.23,1.62,8.0,2014-03-17T21:11:05.530
h_e_20140408_47_1_1_1.fits,5,56755.971235,9.748856,10:02:04.727,+02:20:52.53,1.62,8.0,2014-04-08T23:18:34.672
h_e_20150416_16_1_1_1.fits,0,57128.883813,4.139601,10:00:43.776,+02:31:02.02,1.62,8.0,2015-04-16T21:12:41.445
h_e_20150223_14_1_1_1.fits,7,57077.073799,6.993822,10:01:25.106,+02:10:46.75,1.62,8.0,2015-02-24T01:46:16.248
h_e_20140114_70_1_1_1.fits,2,56671.997673,5.164509,10:02:03.786,+02:31:06.92,1.62,8.0,2014-01-14T23:56:38.961
h_e_20131231_89_1_1_1.fits,0,56658.05873,3.652589,10:00:43.551,+02:31:09.84,1.62,8.0,2014-01-01T01:24:34.274
h_e_20150511_14_1_1_1.fits,0,57153.858642,3.346302,10:00:42.512,+02:31:12.13,1.62,8.0,2015-05-11T20:36:26.674
h_e_20140606_43_1_1_1.fits,5,56814.908784,18.23327,10:02:04.733,+02:21:01.94,1.62,8.0,2014-06-06T21:48:38.967
h_e_20140208_50_1_1_1.fits,1,56696.944087,5.186416,10:01:23.721,+02:31:06.19,1.62,8.0,2014-02-08T22:39:29.103
h_e_20150411_18_1_1_1.fits,8,57123.84778,4.246368,10:02:03.651,+02:11:07.93,1.62,8.0,2015-04-11T20:20:48.163
h_e_20150508_16_1_1_1.fits,1,57150.884476,4.039693,10:01:23.186,+02:30:59.26,1.62,8.0,2015-05-08T21:13:38.718
h_e_20150425_6_1_1_1.fits,1,57137.851722,2.600321,10:01:23.489,+02:31:07.50,1.62,8.0,2015-04-25T20:26:28.746
h_e_20140222_79_1_1_1.fits,5,56710.993901,9.588983,10:02:04.182,+02:21:13.38,1.62,8.0,2014-02-22T23:51:13.033
h_e_20140106_84_1_1_1.fits,0,56664.231521,3.61917,10:00:44.742,+02:30:55.73,1.62,8.0,2014-01-07T05:33:23.410
h_e_20140503_28_1_1_1.fits,0,56780.867599,3.029847,10:00:43.817,+02:30:49.97,1.62,8.0,2014-05-03T20:49:20.514
